O*NET-SOC_Code,Title,Element_ID,Element_Name,Skill_Importance,Skill_Level,Skill_Strength,Skill_Strength_Normalized,Skill_Importance_Category,Skill_Level_Category
11-1011.00,Chief Executives,2.A.1.a,Reading Comprehension,4.12,4.62,19.0344,0.63448,High,High
11-1011.00,Chief Executives,2.A.1.b,Active Listening,4.0,4.75,19.0,0.6333333333333333,Medium,High
11-1011.00,Chief Executives,2.A.1.c,Writing,4.12,4.38,18.0456,0.60152,High,High
11-1011.00,Chief Executives,2.A.1.d,Speaking,4.25,4.75,20.1875,0.6729166666666667,High,High
11-1011.00,Chief Executives,2.A.1.e,Mathematics,3.25,3.5,11.375,0.37916666666666665,Medium,Medium
11-1011.00,Chief Executives,2.A.1.f,Science,1.62,0.75,1.215,0.0405,Low,Low
11-1011.00,Chief Executives,2.A.2.a,Critical Thinking,4.38,4.75,20.805,0.6935,High,High
11-1011.00,Chief Executives,2.A.2.b,Active Learning,3.75,4.5,16.875,0.5625,Medium,High
11-1011.00,Chief Executives,2.A.2.c,Learning Strategies,3.12,3.75,11.700000000000001,0.39,Medium,Medium
11-1011.00,Chief Executives,2.A.2.d,Monitoring,4.0,5.25,21.0,0.7,Medium,High
11-1011.03,Chief Sustainability Officers,2.A.1.a,Reading Comprehension,4.0,4.25,17.0,0.5666666666666667,Medium,High
11-1011.03,Chief Sustainability Officers,2.A.1.b,Active Listening,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-1011.03,Chief Sustainability Officers,2.A.1.c,Writing,4.12,4.25,17.51,0.5836666666666667,High,High
11-1011.03,Chief Sustainability Officers,2.A.1.d,Speaking,4.0,4.12,16.48,0.5493333333333333,Medium,High
11-1011.03,Chief Sustainability Officers,2.A.1.e,Mathematics,2.88,3.12,8.9856,0.29952,Medium,Medium
11-1011.03,Chief Sustainability Officers,2.A.1.f,Science,2.12,1.88,3.9856,0.13285333333333332,Medium,Low
11-1011.03,Chief Sustainability Officers,2.A.2.a,Critical Thinking,4.12,4.12,16.9744,0.5658133333333333,High,High
11-1011.03,Chief Sustainability Officers,2.A.2.b,Active Learning,3.75,3.88,14.549999999999999,0.485,Medium,Medium
11-1011.03,Chief Sustainability Officers,2.A.2.c,Learning Strategies,3.38,3.75,12.674999999999999,0.4225,Medium,Medium
11-1011.03,Chief Sustainability Officers,2.A.2.d,Monitoring,3.75,4.0,15.0,0.5,Medium,Medium
11-1021.00,General and Operations Managers,2.A.1.a,Reading Comprehension,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-1021.00,General and Operations Managers,2.A.1.b,Active Listening,4.0,4.12,16.48,0.5493333333333333,Medium,High
11-1021.00,General and Operations Managers,2.A.1.c,Writing,3.5,3.88,13.58,0.45266666666666666,Medium,Medium
11-1021.00,General and Operations Managers,2.A.1.d,Speaking,4.0,4.12,16.48,0.5493333333333333,Medium,High
11-1021.00,General and Operations Managers,2.A.1.e,Mathematics,2.62,2.75,7.205,0.24016666666666667,Medium,Medium
11-1021.00,General and Operations Managers,2.A.1.f,Science,1.5,0.62,0.9299999999999999,0.030999999999999996,Low,Low
11-1021.00,General and Operations Managers,2.A.2.a,Critical Thinking,3.88,3.88,15.0544,0.5018133333333333,Medium,Medium
11-1021.00,General and Operations Managers,2.A.2.b,Active Learning,3.62,3.75,13.575000000000001,0.4525,Medium,Medium
11-1021.00,General and Operations Managers,2.A.2.c,Learning Strategies,3.0,3.12,9.36,0.312,Medium,Medium
11-1021.00,General and Operations Managers,2.A.2.d,Monitoring,4.0,4.12,16.48,0.5493333333333333,Medium,High
11-2011.00,Advertising and Promotions Managers,2.A.1.a,Reading Comprehension,3.75,4.0,15.0,0.5,Medium,Medium
11-2011.00,Advertising and Promotions Managers,2.A.1.b,Active Listening,4.12,4.12,16.9744,0.5658133333333333,High,High
11-2011.00,Advertising and Promotions Managers,2.A.1.c,Writing,3.75,4.0,15.0,0.5,Medium,Medium
11-2011.00,Advertising and Promotions Managers,2.A.1.d,Speaking,4.12,4.12,16.9744,0.5658133333333333,High,High
11-2011.00,Advertising and Promotions Managers,2.A.1.e,Mathematics,2.88,3.0,8.64,0.28800000000000003,Medium,Medium
11-2011.00,Advertising and Promotions Managers,2.A.1.f,Science,1.5,0.5,0.75,0.025,Low,Low
11-2011.00,Advertising and Promotions Managers,2.A.2.a,Critical Thinking,3.88,4.12,15.9856,0.5328533333333333,Medium,High
11-2011.00,Advertising and Promotions Managers,2.A.2.b,Active Learning,3.38,4.12,13.9256,0.46418666666666664,Medium,High
11-2011.00,Advertising and Promotions Managers,2.A.2.c,Learning Strategies,3.0,3.12,9.36,0.312,Medium,Medium
11-2011.00,Advertising and Promotions Managers,2.A.2.d,Monitoring,3.5,4.12,14.42,0.4806666666666667,Medium,High
11-2021.00,Marketing Managers,2.A.1.a,Reading Comprehension,3.88,4.12,15.9856,0.5328533333333333,Medium,High
11-2021.00,Marketing Managers,2.A.1.b,Active Listening,4.12,4.12,16.9744,0.5658133333333333,High,High
11-2021.00,Marketing Managers,2.A.1.c,Writing,3.25,3.88,12.61,0.42033333333333334,Medium,Medium
11-2021.00,Marketing Managers,2.A.1.d,Speaking,4.0,4.12,16.48,0.5493333333333333,Medium,High
11-2021.00,Marketing Managers,2.A.1.e,Mathematics,3.0,3.0,9.0,0.3,Medium,Medium
11-2021.00,Marketing Managers,2.A.1.f,Science,1.75,1.25,2.1875,0.07291666666666667,Low,Low
11-2021.00,Marketing Managers,2.A.2.a,Critical Thinking,3.88,4.12,15.9856,0.5328533333333333,Medium,High
11-2021.00,Marketing Managers,2.A.2.b,Active Learning,3.88,4.12,15.9856,0.5328533333333333,Medium,High
11-2021.00,Marketing Managers,2.A.2.c,Learning Strategies,3.25,3.5,11.375,0.37916666666666665,Medium,Medium
11-2021.00,Marketing Managers,2.A.2.d,Monitoring,3.88,4.12,15.9856,0.5328533333333333,Medium,High
11-2022.00,Sales Managers,2.A.1.a,Reading Comprehension,3.88,4.0,15.52,0.5173333333333333,Medium,Medium
11-2022.00,Sales Managers,2.A.1.b,Active Listening,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-2022.00,Sales Managers,2.A.1.c,Writing,3.62,4.0,14.48,0.4826666666666667,Medium,Medium
11-2022.00,Sales Managers,2.A.1.d,Speaking,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-2022.00,Sales Managers,2.A.1.e,Mathematics,3.0,3.12,9.36,0.312,Medium,Medium
11-2022.00,Sales Managers,2.A.1.f,Science,1.62,0.62,1.0044,0.033479999999999996,Low,Low
11-2022.00,Sales Managers,2.A.2.a,Critical Thinking,3.88,4.0,15.52,0.5173333333333333,Medium,Medium
11-2022.00,Sales Managers,2.A.2.b,Active Learning,3.75,3.88,14.549999999999999,0.485,Medium,Medium
11-2022.00,Sales Managers,2.A.2.c,Learning Strategies,3.12,3.62,11.294400000000001,0.37648000000000004,Medium,Medium
11-2022.00,Sales Managers,2.A.2.d,Monitoring,3.88,4.62,17.9256,0.5975199999999999,Medium,High
11-2032.00,Public Relations Managers,2.A.1.a,Reading Comprehension,4.12,4.12,16.9744,0.5658133333333333,High,High
11-2032.00,Public Relations Managers,2.A.1.b,Active Listening,4.12,4.12,16.9744,0.5658133333333333,High,High
11-2032.00,Public Relations Managers,2.A.1.c,Writing,4.0,3.88,15.52,0.5173333333333333,Medium,Medium
11-2032.00,Public Relations Managers,2.A.1.d,Speaking,4.25,4.0,17.0,0.5666666666666667,High,Medium
11-2032.00,Public Relations Managers,2.A.1.e,Mathematics,2.38,2.25,5.3549999999999995,0.1785,Medium,Medium
11-2032.00,Public Relations Managers,2.A.1.f,Science,1.12,0.25,0.28,0.009333333333333334,Low,Low
11-2032.00,Public Relations Managers,2.A.2.a,Critical Thinking,3.88,3.88,15.0544,0.5018133333333333,Medium,Medium
11-2032.00,Public Relations Managers,2.A.2.b,Active Learning,3.62,3.5,12.67,0.42233333333333334,Medium,Medium
11-2032.00,Public Relations Managers,2.A.2.c,Learning Strategies,3.0,3.25,9.75,0.325,Medium,Medium
11-2032.00,Public Relations Managers,2.A.2.d,Monitoring,3.5,3.62,12.67,0.42233333333333334,Medium,Medium
11-2033.00,Fundraising Managers,2.A.1.a,Reading Comprehension,3.88,3.88,15.0544,0.5018133333333333,Medium,Medium
11-2033.00,Fundraising Managers,2.A.1.b,Active Listening,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-2033.00,Fundraising Managers,2.A.1.c,Writing,3.88,4.0,15.52,0.5173333333333333,Medium,Medium
11-2033.00,Fundraising Managers,2.A.1.d,Speaking,4.12,3.88,15.9856,0.5328533333333333,High,Medium
11-2033.00,Fundraising Managers,2.A.1.e,Mathematics,3.0,2.75,8.25,0.275,Medium,Medium
11-2033.00,Fundraising Managers,2.A.1.f,Science,1.25,0.25,0.3125,0.010416666666666666,Low,Low
11-2033.00,Fundraising Managers,2.A.2.a,Critical Thinking,4.12,3.88,15.9856,0.5328533333333333,High,Medium
11-2033.00,Fundraising Managers,2.A.2.b,Active Learning,3.38,3.62,12.2356,0.40785333333333335,Medium,Medium
11-2033.00,Fundraising Managers,2.A.2.c,Learning Strategies,2.62,2.75,7.205,0.24016666666666667,Medium,Medium
11-2033.00,Fundraising Managers,2.A.2.d,Monitoring,3.12,3.88,12.1056,0.40352000000000005,Medium,Medium
11-3012.00,Administrative Services Managers,2.A.1.a,Reading Comprehension,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3012.00,Administrative Services Managers,2.A.1.b,Active Listening,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3012.00,Administrative Services Managers,2.A.1.c,Writing,3.75,3.75,14.0625,0.46875,Medium,Medium
11-3012.00,Administrative Services Managers,2.A.1.d,Speaking,3.88,3.88,15.0544,0.5018133333333333,Medium,Medium
11-3012.00,Administrative Services Managers,2.A.1.e,Mathematics,2.25,2.12,4.7700000000000005,0.159,Medium,Medium
11-3012.00,Administrative Services Managers,2.A.1.f,Science,1.0,0.0,0.0,0.0,Low,Low
11-3012.00,Administrative Services Managers,2.A.2.a,Critical Thinking,3.75,3.88,14.549999999999999,0.485,Medium,Medium
11-3012.00,Administrative Services Managers,2.A.2.b,Active Learning,3.12,3.38,10.5456,0.35152,Medium,Medium
11-3012.00,Administrative Services Managers,2.A.2.c,Learning Strategies,3.0,3.25,9.75,0.325,Medium,Medium
11-3012.00,Administrative Services Managers,2.A.2.d,Monitoring,3.38,3.62,12.2356,0.40785333333333335,Medium,Medium
11-3013.00,Facilities Managers,2.A.1.a,Reading Comprehension,3.75,3.88,14.549999999999999,0.485,Medium,Medium
11-3013.00,Facilities Managers,2.A.1.b,Active Listening,3.75,3.75,14.0625,0.46875,Medium,Medium
11-3013.00,Facilities Managers,2.A.1.c,Writing,3.25,3.75,12.1875,0.40625,Medium,Medium
11-3013.00,Facilities Managers,2.A.1.d,Speaking,3.88,3.75,14.549999999999999,0.485,Medium,Medium
11-3013.00,Facilities Managers,2.A.1.e,Mathematics,2.75,2.75,7.5625,0.2520833333333333,Medium,Medium
11-3013.00,Facilities Managers,2.A.1.f,Science,1.5,0.75,1.125,0.0375,Low,Low
11-3013.00,Facilities Managers,2.A.2.a,Critical Thinking,3.75,3.75,14.0625,0.46875,Medium,Medium
11-3013.00,Facilities Managers,2.A.2.b,Active Learning,3.12,3.12,9.7344,0.32448000000000005,Medium,Medium
11-3013.00,Facilities Managers,2.A.2.c,Learning Strategies,3.0,3.25,9.75,0.325,Medium,Medium
11-3013.00,Facilities Managers,2.A.2.d,Monitoring,3.75,3.88,14.549999999999999,0.485,Medium,Medium
11-3013.01,Security Managers,2.A.1.a,Reading Comprehension,4.12,4.0,16.48,0.5493333333333333,High,Medium
11-3013.01,Security Managers,2.A.1.b,Active Listening,4.12,4.0,16.48,0.5493333333333333,High,Medium
11-3013.01,Security Managers,2.A.1.c,Writing,3.75,3.88,14.549999999999999,0.485,Medium,Medium
11-3013.01,Security Managers,2.A.1.d,Speaking,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
11-3013.01,Security Managers,2.A.1.e,Mathematics,2.5,2.38,5.949999999999999,0.1983333333333333,Medium,Medium
11-3013.01,Security Managers,2.A.1.f,Science,1.38,0.38,0.5244,0.01748,Low,Low
11-3013.01,Security Managers,2.A.2.a,Critical Thinking,4.25,4.12,17.51,0.5836666666666667,High,High
11-3013.01,Security Managers,2.A.2.b,Active Learning,3.62,3.62,13.1044,0.43681333333333333,Medium,Medium
11-3013.01,Security Managers,2.A.2.c,Learning Strategies,3.38,3.5,11.83,0.3943333333333333,Medium,Medium
11-3013.01,Security Managers,2.A.2.d,Monitoring,4.0,4.62,18.48,0.616,Medium,High
11-3021.00,Computer and Information Systems Managers,2.A.1.a,Reading Comprehension,4.0,4.0,16.0,0.5333333333333333,Medium,Medium
